,Operation name,Status,Event category,Level,Time,Subscription,Event initiated by,Resource type,Resource group,Resource
,List Storage Account Keys,Started,Administrative,Informational,2024-06-29T06:04:16.649Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe
,Update Storage Account Create,Succeeded,Administrative,Informational,2024-06-29T06:04:04.296Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe
,Update Storage Account Create,Started,Administrative,Informational,2024-06-29T06:04:02.578Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe
,Créer un déploiement,Succeeded,Administrative,Informational,2024-06-29T06:03:19.993Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccountcoe_1719640945204
,Créer un déploiement,Started,Administrative,Informational,2024-06-29T06:02:37.730Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccountcoe_1719640945204
,Créer un déploiement,Succeeded,Administrative,Informational,2024-06-29T06:02:40.808Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccountcoe_1719640945204
,Créer un déploiement,Accepted,Administrative,Informational,2024-06-29T06:02:40.870Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccountcoe_1719640945204
,Update Storage Account Create,Started,Administrative,Informational,2024-06-29T06:02:41.779Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe
,Update Storage Account Create,Accepted,Administrative,Informational,2024-06-29T06:02:49.466Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe
,Get Storage Account(s) List,Running,Administrative,Informational,2024-06-29T06:03:06.373Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe
,Update Storage Account Create,Succeeded,Administrative,Informational,2024-06-29T06:03:13.154Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe
,Put blob service properties,Started,Administrative,Informational,2024-06-29T06:03:16.212Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts/blobServices,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe/blobServices/default
,Put blob service properties,Succeeded,Administrative,Informational,2024-06-29T06:03:17.274Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts/blobServices,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe/blobServices/default
,Put File Service Properties,Started,Administrative,Informational,2024-06-29T06:03:18.087Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts/fileservices,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe/fileservices/default
,Put File Service Properties,Succeeded,Administrative,Informational,2024-06-29T06:03:18.384Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Storage/storageAccounts/fileservices,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Storage/storageAccounts/sftpstorageaccountcoe/fileservices/default
,Valider le déploiement,Succeeded,Administrative,Informational,2024-06-29T06:02:37.566Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccountcoe_1719640945204
,Valider le déploiement,Started,Administrative,Informational,2024-06-29T06:02:35.956Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccountcoe_1719640945204
,Valider le déploiement,Succeeded,Administrative,Informational,2024-06-29T06:02:30.297Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccountcoe_1719640945204
,Valider le déploiement,Started,Administrative,Informational,2024-06-29T06:02:28.672Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccountcoe_1719640945204
,Valider le déploiement,Failed,Administrative,Error,2024-06-29T06:00:51.010Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccount_1719640828449
,Valider le déploiement,Started,Administrative,Informational,2024-06-29T06:00:49.432Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccount_1719640828449
,Valider le déploiement,Failed,Administrative,Error,2024-06-29T06:00:49.166Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccount_1719640828449
,Valider le déploiement,Started,Administrative,Informational,2024-06-29T06:00:47.931Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/sftpstorageaccount_1719640828449
